date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-04 00:42:30+00:00,1.62167E+18,"Zelensky is reportedly demanding China send him some balloons too

#china #balloon #usa #AntonyBlinken #China #Montana #nuclearsites #spyballoon #tech #XiJinping
#BenidormFest2023    #KnockAtTheCabin #หมอกินคนไข้ #ยอร์ชยงศิลป์ #พี่จะตีนะเนย #greenwoodOUT",StayInYourLaneM,2,0,0,0,2,4,5,2023
2023-02-04 00:34:47+00:00,1.62167E+18,"today i learned that too many people on twitter believe that having charges dropped is the same thing as being innocent and it’s hurting my head 
#Greenwood #greenwoodOUT",MaxOptician,0,0,1,0,2,4,5,2023
2023-02-04 00:06:40+00:00,1.62166E+18,Timijay POS #BBTitansXJameson Opay POS Wike CBNGovernor Omotara Blaqbonez Starlink Agbor ChannelsTV APC IwoRoad Governors JuicyJay #greenwoodOUT Babachir Lawal Benin MC Oluomo Seun Nigerian Army #ObiDattiInAbia Umahi FearBuhari Olibang Naira to Naira #greenwoodOUT Olusegun Agbaje https://t.co/hUPuRJNDjA,Timijay1234,0,0,0,0,2,4,5,2023
2023-02-03 23:58:38+00:00,1.62166E+18,"The accuser is now back in a relationship with #masongreenwood 

If I had been raped I wouldn't go back to that person 

Something doesn't sound right here 🤔 

#greenwoodOUT #GreenwoodIn",KieranItweets,0,0,1,0,2,3,4,2023
2023-02-03 23:55:03+00:00,1.62166E+18,"Falz Ft. Chike - Knee Down

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 23:54:44+00:00,1.62166E+18,#greenwoodOUT bro is back #MUFC https://t.co/Bk3fFCvna5,aimenazoui,31,4,0,0,2,3,4,2023
2023-02-03 23:54:21+00:00,1.62166E+18,🚨Mason Greenwood is NOT part of #MUFC PL SQUAD 2022/2023. 👍🏾 hopefully he won’t come back at United because of what happened while Ole was still in charge October 2021 👀 #greenwoodOUT #Greenwood #MUFC #Eriktenhag https://t.co/lljjk4e3aZ,UNITEDST4GE,8,1,5,0,2,3,4,2023
2023-02-03 23:37:54+00:00,1.62165E+18,I just remember wetin sup today….. if you dey run pos biz….. thunder fire you. #BBTaitans #greenwoodOUT  Ibadan #BlueAiva,adeyinkabasit1,2,0,0,0,2,3,4,2023
2023-02-03 23:29:35+00:00,1.62165E+18,"Whitemoney ft Zoro - Na We We

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
2023-02-03 23:18:35+00:00,1.62165E+18,"Simi - Naked Wire

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,3,4,2023
